2021 rank,City,State[c],2021 estimate,2020 census,Change,2020 land area,2020 land area2,2020 population density,2020 population density2,Location
78,Buffalo,New York,"276,807","278,349",?0.55%,40.4 sq mi,104.6 km,"6,890/sq mi","2,660/km",42°53?N 78°51?W? / ?42.89°N 78.85°W
79,North Las Vegas,Nevada,"274,133","262,527",+4.42%,101.3 sq mi,262.4 km,"2,592/sq mi","1,001/km",36°17?N 115°05?W? / ?36.28°N 115.09°W
80,Gilbert,Arizona,"273,136","267,918",+1.95%,68.6 sq mi,177.7 km,"3,906/sq mi","1,508/km",33°19?N 111°44?W? / ?33.31°N 111.74°W
81,Madison,Wisconsin,"269,196","269,840",?0.24%,79.6 sq mi,206.2 km,"3,390/sq mi","1,310/km",43°05?N 89°25?W? / ?43.08°N 89.42°W
82,Reno,Nevada,"268,851","264,165",+1.77%,108.8 sq mi,281.8 km,"2,428/sq mi",937/km,39°32?N 119°50?W? / ?39.54°N 119.84°W
83,Toledo,Ohio,"268,508","270,871",?0.87%,80.5 sq mi,208.5 km,"3,365/sq mi","1,299/km",41°40?N 83°35?W? / ?41.66°N 83.58°W
84,Fort Wayne,Indiana,"265,974","263,886",+0.79%,110.7 sq mi,286.7 km,"2,384/sq mi",920/km,41°05?N 85°08?W? / ?41.08°N 85.14°W
85,Lubbock,Texas,"260,993","257,141",+1.50%,134.6 sq mi,348.6 km,"1,910/sq mi",740/km,33°34?N 101°53?W? / ?33.56°N 101.88°W
86,St. Petersburg,Florida,"258,201","258,308",?0.04%,61.8 sq mi,160.1 km,"4,180/sq mi","1,610/km",27°46?N 82°38?W? / ?27.76°N 82.64°W
87,Laredo,Texas,"256,153","255,205",+0.37%,106.5 sq mi,275.8 km,"2,396/sq mi",925/km,27°34?N 99°29?W? / ?27.56°N 99.48°W
88,Irving,Texas,"254,198","256,684",?0.97%,67.0 sq mi,173.5 km,"3,831/sq mi","1,479/km",32°51?N 96°58?W? / ?32.85°N 96.97°W
